"","tessera"
"767",39070
"768",39074
"769",39088
"770",39116
"771",39121
"772",39130
"773",39142
"774",39175
"775",39178
"776",39179
"777",39231
"778",39320
"779",39329
"780",39332
"781",39333
"782",39441
"783",39477
"784",39478
"785",39521
"786",39548
"787",39560
"788",39569
"789",39580
"790",39589
"791",39600
"792",39608
"793",39614
"794",39617
"795",39618
"796",39627
"797",39641
"798",39656
"799",39678
"800",39698
"801",39721
"802",39736
"803",39766
"804",39767
"805",39771
"806",39780
"807",39831
"808",39868
"809",39877
"810",39907
"811",39920
"812",39922
"813",39927
"814",39929
"815",39966
"816",39970
"817",39975
"818",39980
"819",39992
"820",40023
"821",40044
"822",40063
"823",40075
"824",40091
"825",40116
"826",40155
"827",40169
"828",40182
"829",40203
"830",40243
"831",40299
"832",40319
"833",40329
"834",40354
"835",40365
"836",40371
"837",40378
"838",40398
"839",40434
"840",40440
"841",40448
"842",40449
"843",40483
"844",40485
"845",40486
"846",40487
"847",40496
"848",40497
"849",40500
"850",40501
"851",40507
"852",40508
"853",40556
"854",40569
"855",40583
"856",40619
"857",40639
"858",40658
"859",40757
"860",40760
"861",40782
"862",40783
"863",40805
"864",40845
"865",40846
"866",40850
"867",40853
"868",40856
"869",40886
"870",40896
"871",40897
"872",40901
"873",40913
"874",40914
"875",40917
"876",40919
"877",40923
"878",40937
"879",40942
"880",40954
"881",40983
"882",40990
"883",40994
"884",40998
"885",41005
"886",41006
"887",41017
"888",41019
"889",41021
"890",41044
"891",41086
"892",41131
"893",41209
"894",41214
"895",41221
"896",41224
"897",41277
"898",41302
"899",41314
"900",41320
"901",41334
"902",41367
"903",41381
"904",41382
"905",41414
"906",41429
"907",41440
"908",41444
"909",41471
"910",41504
"911",41508
"912",41537
"913",41542
"914",41547
"915",41549
"916",41577
"917",41578
"918",41579
"919",41582
"920",41584
"921",41609
"922",41645
"923",41654
"924",41697
"925",41706
"926",41756
"927",41758
"928",41759
"929",41761
"930",41774
"931",41826
"932",41864
"933",41877
"934",41890
"935",41892
"936",41934
"937",41939
"938",41949
"939",41958
"940",41960
"941",41965
"942",41984
"943",41993
"944",41994
"945",41996
"946",42005
"947",42022
"948",42046
"949",42070
"950",42081
"951",42082
"952",42107
"953",42112
"954",42113
"955",42116
"956",42138
"957",42159
"958",42164
"959",42187
"960",42188
"961",42211
"962",42219
"963",42231
"964",42238
"965",42240
"966",42259
"967",42276
"968",42287
"969",42290
"970",42315
"971",42321
"972",42327
"973",42370
"974",42380
"975",42390
"976",42403
"977",42415
"978",42418
"979",42419
"980",42420
"981",42430
"982",42438
"983",42466
"984",42481
"985",42495
"986",42518
"987",42520
"988",42576
"989",42589
"990",42606
"991",42619
"992",42622
"993",42629
"994",42637
"995",42653
"996",42692
"997",42697
"998",42708
"999",42710
"1000",42715
"1001",42722
"1002",42732
"1003",42734
"1004",42735
"1005",42739
"1006",42757
"1007",42764
"1008",42772
"1009",42778
"1010",42804
"1011",42830
"1012",42832
"1013",42842
"1014",42844
"1015",42852
"1016",42862
"1017",42864
"1018",42871
"1019",42921
"1020",42922
"1021",42957
"1022",42958
"1023",42964
"1024",42989
"1025",43039
"1026",43046
"1027",43062
"1028",43102
"1029",43157
"1030",43159
"1031",43166
"1032",43173
"1033",43175
"1034",43187
"1035",43190
"1036",43211
"1037",43214
"1038",43215
"1039",43217
"1040",43218
"1041",43225
"1042",43241
"1043",43242
"1044",43245
"1045",43254
"1046",43277
"1047",43299
"1048",43301
"1049",43302
"1050",43316
"1051",43341
"1052",43370
"1053",43391
"1054",43462
"1055",43464
"1056",43465
"1057",43466
"1058",43526
"1059",43557
"1060",43565
"1061",43566
"1062",43573
"1063",43628
"1064",43633
"1065",43674
"1066",43689
"1067",43700
"1068",43702
"1069",43720
"1070",43761
"1071",43762
"1072",43767
"1073",43771
"1074",43773
"1075",43780
"1076",43812
"1077",43825
"1078",43827
"1079",43842
"1080",43877
"1081",43880
"1082",43885
"1083",43889
"1084",43905
"1085",43916
"1086",43947
"1087",43988
"1088",43997
"1089",43999
"1090",44027
"1091",44067
"1092",44077
"1093",44087
"1094",44088
"1095",44099
"1096",44104
"1097",44107
"1098",44130
"1099",44152
"1100",44173
"1101",44178
"1102",44185
"1103",44186
"1104",44212
"1105",44213
"1106",44229
"1107",44250
"1108",44255
"1109",44291
"1110",44297
"1111",44314
"1112",44331
"1113",44332
"1114",44349
"1115",44359
"1116",44367
"1117",44391
"1118",44415
"1119",44422
"1120",44437
"1121",44456
"1122",44489
"1123",44491
"1124",44493
"1125",44495
"1126",44496
"1127",44502
"1128",44518
"1129",44525
"1130",44553
"1131",44587
"1132",44610
"1133",44611
"1134",44646
"1135",44658
"1136",44672
"1137",44676
"1138",44678
"1139",44682
"1140",44683
"1141",44692
"1142",44699
"1143",44719
"1144",44723
"1145",44732
"1146",44745
"1147",44750
"1148",44755
"1149",44761
"1150",44784
"1151",44786
"1152",44811
"1153",44832
"1154",44840
"1155",44874
"1156",44878
"1157",44899
"1158",44901
"1159",44903
"1160",44942
"1161",44948
"1162",44966
"1163",44977
"1164",44978
"1165",45005
"1166",45008
"1167",45022
"1168",45035
"1169",45044
"1170",45057
"1171",45061
"1172",45067
"1173",45077
"1174",45090
"1175",45093
"1176",45097
"1177",45126
"1178",45135
"1179",45141
"1180",45144
"1181",45200
"1182",45202
"1183",45203
"1184",45217
"1185",45225
"1186",45228
"1187",45255
"1188",45278
"1189",45280
"1190",45292
"1191",45304
"1192",45306
"1193",45323
"1194",45356
"1195",45361
"1196",45387
"1197",45412
"1198",45424
"1199",45437
"1200",45439
"1201",45463
"1202",45483
"1203",45484
"1204",45502
"1205",45508
"1206",45526
"1207",45537
"1208",45541
"1209",45545
"1210",45563
"1211",45566
"1212",45572
"1213",45573
"1214",45595
"1215",45600
"1216",45602
"1217",45624
"1218",45649
"1219",45662
"1220",45679
"1221",45686
"1222",45694
"1223",45713
"1224",45714
"1225",45718
"1226",45720
"1227",45729
"1228",45749
"1229",45754
"1230",45800
"1231",45801
"1232",45816
"1233",45821
"1234",45824
"1235",45832
"1236",45835
"1237",45852
"1238",45854
"1239",45855
"1240",45863
"1241",45883
"1242",45884
"1243",45896
"1244",45950
"1245",45984
"1246",45986
"1247",46009
"1248",46015
